STAT_VALUE,year_area
738,"(2013, D2)"
735,"(2013, D3)"
613,"(2013, E1)"
970,"(2013, E2)"
480,"(2013, E3)"
482,"(2013, F1)"
654,"(2013, F2)"
528,"(2013, F3)"
409,"(2013, G1)"
621,"(2013, G2)"
440,"(2013, G3)"
722,"(2013, J1)"
904,"(2013, J2)"
781,"(2013, J3)"
1010,"(2013, K1)"
647,"(2013, K2)"
719,"(2013, K3)"
714,"(2013, L1)"
741,"(2013, L2)"
780,"(2013, L3)"
610,"(2013, M1)"
1144,"(2013, M2)"
1180,"(2013, M3)"
746,"(2013, N1)"
548,"(2013, N2)"
1068,"(2013, N3)"
563,"(2013, O1)"
509,"(2013, O2)"
393,"(2013, O3)"
504,"(2013, Q1)"
764,"(2013, Q2)"
602,"(2013, Q3)"
650,"(2013, R1)"
607,"(2013, R2)"
567,"(2013, R3)"
658,"(2013, S1)"
654,"(2013, S2)"
590,"(2013, S3)"
757,"(2013, U1)"
990,"(2013, U2)"
524,"(2013, U3)"
537,"(2013, W1)"
666,"(2013, W2)"
616,"(2013, W3)"
190,"(2014, B1)"
232,"(2014, B2)"
318,"(2014, B3)"
233,"(2014, C1)"
257,"(2014, C2)"
202,"(2014, C3)"
322,"(2014, D1)"
260,"(2014, D2)"
237,"(2014, D3)"
235,"(2014, E1)"
395,"(2014, E2)"
141,"(2014, E3)"
112,"(2014, F1)"
237,"(2014, F2)"
173,"(2014, F3)"
152,"(2014, G1)"
185,"(2014, G2)"
166,"(2014, G3)"
269,"(2014, J1)"
330,"(2014, J2)"
312,"(2014, J3)"
325,"(2014, K1)"
258,"(2014, K2)"
329,"(2014, K3)"
196,"(2014, L1)"
241,"(2014, L2)"
218,"(2014, L3)"
215,"(2014, M1)"
373,"(2014, M2)"
361,"(2014, M3)"
275,"(2014, N1)"
230,"(2014, N2)"
371,"(2014, N3)"
194,"(2014, O1)"
205,"(2014, O2)"
183,"(2014, O3)"
180,"(2014, Q1)"
234,"(2014, Q2)"
235,"(2014, Q3)"
301,"(2014, R1)"
264,"(2014, R2)"
231,"(2014, R3)"
228,"(2014, S1)"
246,"(2014, S2)"
232,"(2014, S3)"
239,"(2014, U1)"
399,"(2014, U2)"
265,"(2014, U3)"
144,"(2014, W1)"
156,"(2014, W2)"
142,"(2014, W3)"
