STAT_VALUE
647
738
858
613
479
570
1253
779
689
488
788
511
474
500
528
471
792
546
747
1074
854
1080
729
1208
646
673
740
654
1093
1003
745
449
971
718
602
513
471
797
693
687
635
674
667
629
722
690
940
566
622
582
505
830
739
883
633
525
520
1429
983
957
576
1002
463
559
549
555
525
814
502
1092
923
885
1163
601
1228
561
685
862
791
1405
1251
781
505
972
778
537
407
612
649
690
671
557
563
620
657
780
835
905
572
737
778
682
693
625
760
651
596
601
1001
772
868
613
832
427
518
554
501
438
656
478
992
932
850
1047
557
893
497
723
892
911
1222
1142
737
501
922
639
635
459
564
717
572
777
563
546
638
704
753
824
944
578
696
744
690
731
647
777
744
557
614
943
753
643
530
802
424
567
556
563
472
487
540
933
875
729
1058
690
798
644
681
701
684
1040
1057
991
458
969
644
563
485
456
674
532
646
550
738
567
644
629
879
937
755
590
655
641
627
587
758
609
662
458
924
760
757
578
949
449
542
597
543
446
535
415
727
894
746
1056
725
766
715
667
667
521
1250
983
811
489
923
546
515
503
525
690
527
672
470
613
571
606
664
814
937
664
566
679
618
596
715
808
732
618
410
958
738
735
613
970
480
482
654
528
409
621
440
722
904
781
1010
647
719
714
741
780
610
1144
1180
746
548
1068
563
509
393
504
764
602
650
607
567
658
654
590
757
990
524
537
666
616
190
232
318
233
257
202
322
260
237
235
395
141
112
237
173
152
185
166
269
330
312
325
258
329
196
241
218
215
373
361
275
230
371
194
205
183
180
234
235
301
264
231
228
246
232
239
399
265
144
156
142
